valid_auc,test_auc,point,level,seed,n_points,scenario,signal_form,complementarity
0.7684312303601644,0.8035345454545455,"{'gbdt_lr': 0.1, 'max_depth': 3, 'n_rounds': 60, 'reg_lambda': 1.0}",L3b_纵向GBDT,55,81,N4_阶跃_高,threshold,2.0
0.8044798968656836,0.7741672727272727,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.003}",L3c_SplitNN,55,54,N4_阶跃_高,threshold,2.0
0.6640738857820708,0.6721380471380471,{'c_reg': 0.01},L0_LR,11,5,N5_交互_零互补,interaction,0.0
0.6666158278257922,0.6724617974617974,"{'c_reg': 0.01, 'k_anonymity': 20, 'n_segments': 256}",L1_LR,11,60,N5_交互_零互补,interaction,0.0
0.6617522453821386,0.6681721056721056,{'c_reg': 0.01},L2_LR,11,5,N5_交互_零互补,interaction,0.0
0.6754787324182342,0.7112470862470862,{'c_reg': 0.01},L4_LR,11,5,N5_交互_零互补,interaction,0.0
0.6754787324182342,0.7062451437451438,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,11,27,N5_交互_零互补,interaction,0.0
0.6704880528723945,0.6896691271691272,"{'gbdt_lr': 0.05, 'max_depth': 2, 'n_rounds': 30, 'reg_lambda': 10.0}",L3b_纵向GBDT,11,81,N5_交互_零互补,interaction,0.0
0.6605998983223182,0.6766058016058016,"{'dim_embed': 2, 'dim_hidden': 32, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,11,54,N5_交互_零互补,interaction,0.0
0.7495692749461593,0.7155840684309009,{'c_reg': 1.0},L0_LR,22,5,N5_交互_零互补,interaction,0.0
0.7496590093323763,0.7163191659983961,"{'c_reg': 10.0, 'k_anonymity': 5, 'n_segments': 16}",L1_LR,22,60,N5_交互_零互补,interaction,0.0
0.7465183058147883,0.7154337075648222,{'c_reg': 0.1},L2_LR,22,5,N5_交互_零互补,interaction,0.0
0.7488693467336682,0.7192929697941727,{'c_reg': 1.0},L4_LR,22,5,N5_交互_零互补,interaction,0.0
0.7493539124192391,0.71615209836942,"{'flr_l2': 1e-05, 'flr_lr': 0.1, 'flr_rounds': 800}",L3a_联邦LR,22,27,N5_交互_零互补,interaction,0.0
0.7510588657573583,0.7418136861801656,"{'gbdt_lr': 0.3, 'max_depth': 3, 'n_rounds': 30, 'reg_lambda': 10.0}",L3b_纵向GBDT,22,81,N5_交互_零互补,interaction,0.0
0.7670674802584351,0.6845596097300186,"{'dim_embed': 2, 'dim_hidden': 32, 'nn_epochs': 16, 'nn_lr': 0.01}",L3c_SplitNN,22,54,N5_交互_零互补,interaction,0.0
0.6879949465380705,0.7144537419766778,{'c_reg': 1.0},L0_LR,33,5,N5_交互_零互补,interaction,0.0
0.6909222568021446,0.7204019222367846,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 64}",L1_LR,33,60,N5_交互_零互补,interaction,0.0
0.7053585184728685,0.7138488422892093,{'c_reg': 100.0},L2_LR,33,5,N5_交互_零互补,interaction,0.0
0.7192401318830309,0.7796484860705044,{'c_reg': 0.01},L4_LR,33,5,N5_交互_零互补,interaction,0.0
0.7195328629094383,0.7834795174244715,"{'flr_l2': 0.01, 'flr_lr': 0.1, 'flr_rounds': 200}",L3a_联邦LR,33,27,N5_交互_零互补,interaction,0.0
0.7274982282069455,0.7206707665423262,"{'gbdt_lr': 0.05, 'max_depth': 3, 'n_rounds': 60, 'reg_lambda': 0.1}",L3b_纵向GBDT,33,81,N5_交互_零互补,interaction,0.0
0.7034172495609033,0.7581409416271802,"{'dim_embed': 8, 'dim_hidden': 32, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,33,54,N5_交互_零互补,interaction,0.0
0.7363573566658992,0.7132001736864959,{'c_reg': 10.0},L0_LR,44,5,N5_交互_零互补,interaction,0.0
0.7498766487944475,0.7099724996381531,"{'c_reg': 10.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,44,60,N5_交互_零互补,interaction,0.0
0.7450248347093846,0.716919959473151,{'c_reg': 10.0},L2_LR,44,5,N5_交互_零互补,interaction,0.0
0.7911417387585935,0.7162831089882762,{'c_reg': 100.0},L4_LR,44,5,N5_交互_零互补,interaction,0.0
0.7912568665504424,0.7163699522362137,"{'flr_l2': 1e-05, 'flr_lr': 1.0, 'flr_rounds': 800}",L3a_联邦LR,44,27,N5_交互_零互补,interaction,0.0
0.7842176244202493,0.6889998552612535,"{'gbdt_lr': 0.1, 'max_depth': 2, 'n_rounds': 120, 'reg_lambda': 0.1}",L3b_纵向GBDT,44,81,N5_交互_零互补,interaction,0.0
0.772787079372389,0.6829787234042554,"{'dim_embed': 4, 'dim_hidden': 16, 'nn_epochs': 8, 'nn_lr': 0.03}",L3c_SplitNN,44,54,N5_交互_零互补,interaction,0.0
0.7813675246984548,0.76464,{'c_reg': 0.01},L0_LR,55,5,N5_交互_零互补,interaction,0.0
0.7837448118630527,0.7549381818181817,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 16}",L1_LR,55,60,N5_交互_零互补,interaction,0.0
0.7813090668173581,0.7646254545454545,{'c_reg': 0.01},L2_LR,55,5,N5_交互_零互补,interaction,0.0
0.8263995791032561,0.777090909090909,{'c_reg': 10.0},L4_LR,55,5,N5_交互_零互补,interaction,0.0
0.8264580369843528,0.7770472727272728,"{'flr_l2': 1e-05, 'flr_lr': 0.5, 'flr_rounds': 800}",L3a_联邦LR,55,27,N5_交互_零互补,interaction,0.0
0.8423975525633781,0.7592,"{'gbdt_lr': 0.3, 'max_depth': 2, 'n_rounds': 30, 'reg_lambda': 1.0}",L3b_纵向GBDT,55,81,N5_交互_零互补,interaction,0.0
0.8362594750482278,0.736,"{'dim_embed': 8, 'dim_hidden': 8, 'nn_epochs': 16, 'nn_lr': 0.003}",L3c_SplitNN,55,54,N5_交互_零互补,interaction,0.0
0.6385159010600707,0.6668323863636364,{'c_reg': 1.0},L0_LR,11,5,N6_线性_对照,linear,0.8
0.6825309187279153,0.6607244318181817,"{'c_reg': 100.0, 'k_anonymity': 5, 'n_segments': 1024}",L1_LR,11,60,N6_线性_对照,linear,0.8
