scenario,seed,split,level,algo,n_usable,n_test,auc,ks,lift@5,recall@5,lift@10,recall@10,lift@20,recall@20,comm_floats,comm_rounds,comm_grad_msgs,comm_hist_msgs,gradient_returned,auuc,uplift@10,topk_overlap@10
S5_低重叠高漂移,33,random,L0_内地单方_GBDT,gbdt,2436.0,731.0,0.6266599597585513,0.2641180415828303,1.9338624338624337,0.09523809523809523,1.4305283757338552,0.14285714285714285,1.4305283757338552,0.2857142857142857,0.0,60.0,0.0,0.0,,,,
S5_低重叠高漂移,33,random,L4_集中式_GBDT,gbdt,2436.0,731.0,0.840710932260228,0.5777330650570087,4.834656084656085,0.23809523809523808,3.3378995433789953,0.3333333333333333,3.576320939334638,0.7142857142857143,766800.0,60.0,404.0,404.0,,,,
S5_低重叠高漂移,33,random,L3a_联邦LR,federated_logistic,2436.0,731.0,0.8177062374245474,0.5551307847082495,5.801587301587301,0.2857142857142857,3.3378995433789953,0.3333333333333333,3.576320939334638,0.7142857142857143,1364000.0,400.0,,,,,,
S5_低重叠高漂移,33,random,L3b_纵向GBDT,vertical_gbdt,2436.0,731.0,0.840710932260228,0.5777330650570087,4.834656084656085,0.23809523809523808,3.3378995433789953,0.3333333333333333,3.576320939334638,0.7142857142857143,766800.0,60.0,404.0,404.0,,,,
S5_低重叠高漂移,33,random,L3c_SplitNN_形态A双向,splitnn,2436.0,731.0,0.7950368879946345,0.5126089872568745,4.834656084656085,0.23809523809523808,4.768427919112851,0.47619047619047616,3.3378995433789953,0.6666666666666666,147456.0,72.0,,,1.0,,,
S5_低重叠高漂移,33,random,L3c_SplitNN_形态B自监督,splitnn,2436.0,731.0,0.7059691482226692,0.368075117370892,2.9007936507936507,0.14285714285714285,3.3378995433789953,0.3333333333333333,2.6226353555120676,0.5238095238095238,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,33,random,L3c_SplitNN_形态B随机,splitnn,2436.0,731.0,0.6698859825620389,0.3503018108651911,0.9669312169312169,0.047619047619047616,1.4305283757338552,0.14285714285714285,2.3842139595564253,0.47619047619047616,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,33,random,L0_内地单方_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,-0.00014532785963925567,-0.11007751937984496,
S5_低重叠高漂移,33,random,L1_加k匿名统计_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.0007672732555855829,-0.07621951219512195,
S5_低重叠高漂移,33,random,L2_加粗粒度标记_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.0005899328152206563,-0.11007751937984496,
S5_低重叠高漂移,33,random,L4_集中式_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.001092426476043794,-0.04337152209492637,
S5_低重叠高漂移,33,random,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,,,,,,,0.4794520547945205
S5_低重叠高漂移,33,random,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,,,,,,,0.3287671232876712
S5_低重叠高漂移,33,random,OVERLAP_L1_vs_L3c_SplitNN_形态A双向,top_k_overlap,,,,,,,,,,,,,,,,,,0.3698630136986301
S5_低重叠高漂移,33,oot,L0_内地单方_LR,logistic,2436.0,731.0,0.6736497545008183,0.33671576650300056,2.342948717948718,0.11538461538461539,3.4662802950474183,0.34615384615384615,2.310853530031612,0.46153846153846156,0.0,,,,,,,
S5_低重叠高漂移,33,oot,L1_加k匿名统计_LR,logistic,2436.0,731.0,0.6794326241134752,0.3342062193126023,3.9049145299145303,0.19230769230769232,3.4662802950474183,0.34615384615384615,2.310853530031612,0.46153846153846156,384.0,,,,,,,
S5_低重叠高漂移,33,oot,L2_加粗粒度标记_LR,logistic,2436.0,731.0,0.6935624659028915,0.3518821603927987,3.9049145299145303,0.19230769230769232,2.6959957850368808,0.2692307692307692,2.118282402528978,0.4230769230769231,0.0,,,,,,,
S5_低重叠高漂移,33,oot,L4_集中式_LR,logistic,2436.0,731.0,0.7755046372067649,0.488379705400982,4.685897435897436,0.23076923076923078,2.6959957850368808,0.2692307692307692,3.0811380400421493,0.6153846153846154,0.0,,,,,,,
S5_低重叠高漂移,33,oot,L0_内地单方_GBDT,gbdt,2436.0,731.0,0.64012547735952,0.2724495362793235,2.342948717948718,0.11538461538461539,1.5405690200210747,0.15384615384615385,1.9257112750263434,0.38461538461538464,0.0,60.0,0.0,0.0,,,,
S5_低重叠高漂移,33,oot,L4_集中式_GBDT,gbdt,2436.0,731.0,0.7631751227495909,0.4392253136933988,6.247863247863248,0.3076923076923077,3.851422550052687,0.38461538461538464,2.6959957850368808,0.5384615384615384,764984.0,60.0,404.0,404.0,,,,
S5_低重叠高漂移,33,oot,L3a_联邦LR,federated_logistic,2436.0,731.0,0.7752318603382433,0.5050736497545008,4.685897435897436,0.23076923076923078,3.4662802950474183,0.34615384615384615,3.273709167544784,0.6538461538461539,1364000.0,400.0,,,,,,
S5_低重叠高漂移,33,oot,L3b_纵向GBDT,vertical_gbdt,2436.0,731.0,0.7631751227495909,0.4392253136933988,6.247863247863248,0.3076923076923077,3.851422550052687,0.38461538461538464,2.6959957850368808,0.5384615384615384,764984.0,60.0,404.0,404.0,,,,
S5_低重叠高漂移,33,oot,L3c_SplitNN_形态A双向,splitnn,2436.0,731.0,0.7296781232951446,0.3755046372067648,3.123931623931624,0.15384615384615385,3.851422550052687,0.38461538461538464,2.6959957850368808,0.5384615384615384,147456.0,72.0,,,1.0,,,
S5_低重叠高漂移,33,oot,L3c_SplitNN_形态B自监督,splitnn,2436.0,731.0,0.6476268412438626,0.28063284233497005,3.123931623931624,0.15384615384615385,3.0811380400421493,0.3076923076923077,1.7331401475237092,0.34615384615384615,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,33,oot,L3c_SplitNN_形态B随机,splitnn,2436.0,731.0,0.642771412984179,0.34604473540643754,3.123931623931624,0.15384615384615385,1.9257112750263434,0.19230769230769232,1.9257112750263434,0.38461538461538464,73728.0,72.0,,,0.0,,,
S5_低重叠高漂移,33,oot,L0_内地单方_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.0007738441325373194,0.06605222734254992,
S5_低重叠高漂移,33,oot,L1_加k匿名统计_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.0024340782562917037,0.02121212121212121,
S5_低重叠高漂移,33,oot,L2_加粗粒度标记_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,0.0007362553605354778,0.02651515151515152,
S5_低重叠高漂移,33,oot,L4_集中式_UPLIFT,t_learner,2436.0,731.0,,,,,,,,,,,,,,-0.00020952055345420438,-0.04210526315789476,
S5_低重叠高漂移,33,oot,OVERLAP_L1_vs_L3a_联邦LR,top_k_overlap,,,,,,,,,,,,,,,,,,0.3972602739726027
S5_低重叠高漂移,33,oot,OVERLAP_L1_vs_L3b_纵向GBDT,top_k_overlap,,,,,,,,,,,,,,,,,,0.273972602739726
