scenario,split,level,auc_mean,ci_low,ci_high,n_seeds
S8_稀疏正样本,oot,L3c_SplitNN_形态A双向,0.826172968965776,0.8059212434531231,0.8464246944784288,5.0
S8_稀疏正样本,oot,L3c_SplitNN_形态B自监督,0.7222721692381698,0.6732017562744048,0.7713425822019349,5.0
S8_稀疏正样本,oot,L3c_SplitNN_形态B随机,0.7033287676417765,0.6575561359954653,0.7491013992880878,5.0
S8_稀疏正样本,oot,L4_集中式_GBDT,0.7952737096060003,0.7552755493398856,0.835271869872115,5.0
S8_稀疏正样本,oot,L4_集中式_LR,0.8419396724164327,0.8196245406452101,0.8642548041876554,5.0
S8_稀疏正样本,random,L0_内地单方_GBDT,0.6726840296347548,0.5854755035062642,0.7598925557632454,5.0
S8_稀疏正样本,random,L0_内地单方_LR,0.7442075475493306,0.678268174645682,0.8101469204529792,5.0
S8_稀疏正样本,random,L1_加k匿名统计_LR,0.7374956422792371,0.665992647333967,0.8089986372245073,5.0
S8_稀疏正样本,random,L2_加粗粒度标记_LR,0.7539694195870646,0.6971818096511117,0.8107570295230176,5.0
S8_稀疏正样本,random,L3a_联邦LR,0.8528425275773864,0.7749547563580436,0.9307302987967293,5.0
S8_稀疏正样本,random,L3b_纵向GBDT,0.8008689658843334,0.6998424242666536,0.9018955075020133,5.0
S8_稀疏正样本,random,L3c_SplitNN_形态A双向,0.8224751049244787,0.7108730522409069,0.9340771576080505,5.0
S8_稀疏正样本,random,L3c_SplitNN_形态B自监督,0.7491482296252592,0.6687549206976816,0.8295415385528367,5.0
S8_稀疏正样本,random,L3c_SplitNN_形态B随机,0.7432264281000205,0.6654277084097617,0.8210251477902792,5.0
S8_稀疏正样本,random,L4_集中式_GBDT,0.8008689658843334,0.6998424242666536,0.9018955075020133,5.0
S8_稀疏正样本,random,L4_集中式_LR,0.8521653227570818,0.7730414509340455,0.931289194580118,5.0
